@RELATION BOOKKEEPER5TestDataset

@ATTRIBUTE versionname REAL
@ATTRIBUTE #revision REAL
@ATTRIBUTE #fixcommit REAL
@ATTRIBUTE size REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE avgchurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE avgchgsetsize REAL
@ATTRIBUTE buggy {no,yes}
@DATA
6,0,0,84,0,0,0,0,0,0,no
6,0,0,117,0,0,0,0,0,0,no
6,0,0,94,0,0,0,0,0,0,no
6,0,0,71,0,0,0,0,0,0,no
6,0,0,183,0,0,0,0,0,0,no
6,0,0,85,0,0,0,0,0,0,no
6,0,0,183,0,0,0,0,0,0,no
6,0,0,70,0,0,0,0,0,0,no
6,0,0,54,0,0,0,0,0,0,no
6,0,0,160,0,0,0,0,0,0,no
6,0,0,128,0,0,0,0,0,0,no
6,0,0,151,0,0,0,0,0,0,no
6,0,0,422,0,0,0,0,0,0,no
6,0,0,221,0,0,0,0,0,0,no
6,0,0,50,0,0,0,0,0,0,no
6,0,0,42,0,0,0,0,0,0,no
6,0,0,624,0,0,0,0,0,0,no
6,0,0,377,0,0,0,0,0,0,no
6,0,0,382,0,0,0,0,0,0,no
6,0,0,72,0,0,0,0,0,0,no
6,0,0,92,0,0,0,0,0,0,no
6,0,0,282,0,0,0,0,0,0,no
6,0,0,371,0,0,0,0,0,0,no
6,0,0,47,0,0,0,0,0,0,no
6,0,0,108,0,0,0,0,0,0,no
6,0,0,111,0,0,0,0,0,0,no
6,0,0,319,0,0,0,0,0,0,no
6,0,0,129,0,0,0,0,0,0,no
6,0,0,49,0,0,0,0,0,0,no
6,0,0,358,0,0,0,0,0,0,no
6,0,0,277,0,0,0,0,0,0,no
6,0,0,49,0,0,0,0,0,0,no
6,0,0,89,0,0,0,0,0,0,no
6,0,0,41,0,0,0,0,0,0,no
6,0,0,66,0,0,0,0,0,0,no
6,0,0,63,0,0,0,0,0,0,no
6,0,0,24,0,0,0,0,0,0,no
6,0,0,50,0,0,0,0,0,0,no
6,0,0,72,0,0,0,0,0,0,no
6,0,0,47,0,0,0,0,0,0,no
6,0,0,47,0,0,0,0,0,0,no
6,0,0,183,0,0,0,0,0,0,no
6,0,0,49,0,0,0,0,0,0,no
6,0,0,50,0,0,0,0,0,0,no
6,0,0,98,0,0,0,0,0,0,no
6,0,0,143,0,0,0,0,0,0,no
6,0,0,43,0,0,0,0,0,0,no
6,0,0,42,0,0,0,0,0,0,no
6,0,0,56,0,0,0,0,0,0,no
6,0,0,44,0,0,0,0,0,0,no
6,0,0,26,0,0,0,0,0,0,no
6,0,0,41,0,0,0,0,0,0,no
6,0,0,104,0,0,0,0,0,0,no
6,0,0,54,0,0,0,0,0,0,no
6,0,0,254,0,0,0,0,0,0,no
